Set,Insert/Subset,Card #,Player,Team,Base,Parallel Blue,Parallel Yellow,Parallel Green,Special
Autographs - Base,,,Gabriel Martinelli,Arsenal,,,,,
Autographs - Base,,,Leandro Trossard,Arsenal,,,,,
Autographs - Base,,,Kai Havertz,Arsenal,,,,,
Autographs - Base,,,Donyell Malen,Aston Villa,,,,,
Autographs - Base,,,Emiliano Martínez,Aston Villa,,,,,
Autographs - Base,,,Jacob Ramsey,Aston Villa,,,,,
Autographs - Base,,,Matty Cash,Aston Villa,,,,,
Autographs - Base,,,Ollie Watkins,Aston Villa,,,,,
Autographs - Base,,,Stiliyan Petrov,Aston Villa,,,,,
Autographs - Base,,,Fábio Carvalho,Brentford,,,,,
Autographs - Base,,,Kristoffer Ajer,Brentford,,,,,
Autographs - Base,,,Kevin Schade,Brentford,,,,,
Autographs - Base,,,Nathan Collins,Brentford,,,,,
Autographs - Base,,,Yehor Yarmoliuk,Brentford,,,,,
Autographs - Base,,,Evan Ferguson,Brighton & Hove Albion,,,,,
Autographs - Base,,,Georginio Rutter,Brighton & Hove Albion,,,,,
Autographs - Base,,,João Pedro,Brighton & Hove Albion,,,,,
Autographs - Base,,,Lewis Dunk,Brighton & Hove Albion,,,,,
Autographs - Base,,,Matt O’Riley,Brighton & Hove Albion,,,,,
Autographs - Base,,,Simon Adingra,Brighton & Hove Albion,,,,,
Autographs - Base,,,Yasin Ayari,Brighton & Hove Albion,,,,,
Autographs - Base,,,Yankuba Minteh,Brighton & Hove Albion,,,,,
Autographs - Base,,,Ashley Cole,Chelsea,,,,,
Autographs - Base,,,César Azpilicueta,Chelsea,,,,,
Autographs - Base,,,Cole Palmer,Chelsea,,,,,
Autographs - Base,,,Diego Costa,Chelsea,,,,,
Autographs - Base,,,"Enzo Fernández,",Chelsea,,,,,
Autographs - Base,,,Estêvão,Chelsea,,,,,
Autographs - Base,,,Juan Mata,Chelsea,,,,,
Autographs - Base,,,John Terry,Chelsea,,,,,
Autographs - Base,,,Levi Colwill,Chelsea,,,,,
Autographs - Base,,,Michael Ballack,Chelsea,,,,,
Autographs - Base,,,Nicolas Anelka,Chelsea,,,,,
Autographs - Base,,,Nicolas Jackson,Chelsea,,,,,
Autographs - Base,,,Noni Madueke,Chelsea,,,,,
Autographs - Base,,,Reece James,Chelsea,,,,,
Autographs - Base,,,Tosin Adarabioyo,Chelsea,,,,,
Autographs - Base,,,Tore André Flo,Chelsea,,,,,
Autographs - Base,,,Trevoh Chalobah,Chelsea,,,,,
Autographs - Base,,,Adam Wharton,Crystal Palace,,,,,
Autographs - Base,,,Chris Richards,Crystal Palace,,,,,
Autographs - Base,,,Chadi Riad,Crystal Palace,,,,,
Autographs - Base,,,Eberechi Eze,Crystal Palace,,,,,
Autographs - Base,,,Marc Guéhi,Crystal Palace,,,,,
Autographs - Base,,,Maxence Lacroix,Crystal Palace,,,,,
Autographs - Base,,,Yannick Bolasie,Crystal Palace,,,,,
Autographs - Base,,,Iliman Ndiaye,Everton,,,,,
Autographs - Base,,,James Garner,Everton,,,,,
Autographs - Base,,,Jordan Pickford,Everton,,,,,
Autographs - Base,,,Phil Neville,Everton,,,,,
Autographs - Base,,,Yakubu,Everton,,,,,
Autographs - Base,,,Danny Murphy,Fulham,,,,,
Autographs - Base,,,Emile Smith Rowe,Fulham,,,,,
Autographs - Base,,,Jimmy Bullard,Fulham,,,,,
Autographs - Base,,,Josh King,Fulham,,,,,
Autographs - Base,,,Louis Saha,Fulham,,,,,
Autographs - Base,,,Illan Meslier,Leeds United,,,,,
Autographs - Base,,,Conor Bradley,Liverpool FC,,,,,
Autographs - Base,,,Cody Gakpo,Liverpool FC,,,,,
Autographs - Base,,,Diogo Jota,Liverpool FC,,,,,
Autographs - Base,,,Emile Heskey,Liverpool FC,,,,,
Autographs - Base,,,Harvey Elliott,Liverpool FC,,,,,
Autographs - Base,,,John Arne Riise,Liverpool FC,,,,,
Autographs - Base,,,Joe Gomez,Liverpool FC,,,,,
Autographs - Base,,,Ryan Gravenberch,Liverpool FC,,,,,
Autographs - Base,,,Rio Ngumoha,Liverpool FC,,,,,
Autographs - Base,,,Virgil van Dijk,Liverpool FC,,,,,
Autographs - Base,,,Bernardo Silva,Manchester City,,,,,
Autographs - Base,,,David Silva,Manchester City,,,,,
Autographs - Base,,,Emmanuel Adebayor,Manchester City,,,,,
Autographs - Base,,,Erling Haaland,Manchester City,,,,,
Autographs - Base,,,Joško Gvardiol,Manchester City,,,,,
Autographs - Base,,,Joe Hart,Manchester City,,,,,
Autographs - Base,,,John Stones,Manchester City,,,,,
Autographs - Base,,,Manuel Akanji,Manchester City,,,,,
Autographs - Base,,,Mateo Kovačić,Manchester City,,,,,
Autographs - Base,,,Matheus Nunes,Manchester City,,,,,
Autographs - Base,,,Micah Richards,Manchester City,,,,,
Autographs - Base,,,Oscar Bobb,Manchester City,,,,,
Autographs - Base,,,Phil Foden,Manchester City,,,,,
Autographs - Base,,,Rúben Dias,Manchester City,,,,,
Autographs - Base,,,Rico Lewis,Manchester City,,,,,
Autographs - Base,,,Riyad Mahrez,Manchester City,,,,,
Autographs - Base,,,Sávio,Manchester City,,,,,
Autographs - Base,,,Vitor Reis,Manchester City,,,,,
Autographs - Base,,,André Onana,Manchester United,,,,,
Autographs - Base,,,Bruno Fernandes,Manchester United,,,,,
Autographs - Base,,,Diogo Dalot,Manchester United,,,,,
Autographs - Base,,,Edwin van der Sar,Manchester United,,,,,
Autographs - Base,,,Gary Neville,Manchester United,,,,,
Autographs - Base,,,Harry Maguire,Manchester United,,,,,
Autographs - Base,,,Joshua Zirkzee,Manchester United,,,,,
Autographs - Base,,,Kobbie Mainoo,Manchester United,,,,,
Autographs - Base,,,Leny Yoro,Manchester United,,,,,
Autographs - Base,,,Mason Mount,Manchester United,,,,,
Autographs - Base,,,Manuel Ugarte,Manchester United,,,,,
Autographs - Base,,,Nemanja Vidić,Manchester United,,,,,
Autographs - Base,,,Patrice Evra,Manchester United,,,,,
Autographs - Base,,,Paul Scholes,Manchester United,,,,,
Autographs - Base,,,Shea Lacey,Manchester United,,,,,
Autographs - Base,,,Anthony Gordon,Newcastle United,,,,,
Autographs - Base,,,Bruno Guimarães,Newcastle United,,,,,
Autographs - Base,,,Harvey Barnes,Newcastle United,,,,,
Autographs - Base,,,Lewis Hall,Newcastle United,,,,,
Autographs - Base,,,Lewis Miley,Newcastle United,,,,,
Autographs - Base,,,Nick Pope,Newcastle United,,,,,
Autographs - Base,,,Sven Botman,Newcastle United,,,,,
Autographs - Base,,,Shay Given,Newcastle United,,,,,
Autographs - Base,,,Sandro Tonali,Newcastle United,,,,,
Autographs - Base,,,Tino Livramento,Newcastle United,,,,,
Autographs - Base,,,Anthony Elanga,Nottingham Forest,,,,,
Autographs - Base,,,Chris Wood,Nottingham Forest,,,,,
Autographs - Base,,,Matz Sels,Nottingham Forest,,,,,
Autographs - Base,,,Neco Williams,Nottingham Forest,,,,,
Autographs - Base,,,Zach Abbott,Nottingham Forest,,,,,
Autographs - Base,,,Archie Gray,Tottenham Hotspur,,,,,
Autographs - Base,,,Cristian Romero,Tottenham Hotspur,,,,,
Autographs - Base,,,Dejan Kulusevski,Tottenham Hotspur,,,,,
Autographs - Base,,,Dominic Solanke,Tottenham Hotspur,,,,,
Autographs - Base,,,Destiny Udogie,Tottenham Hotspur,,,,,
Autographs - Base,,,Gareth Bale,Tottenham Hotspur,,,,,
Autographs - Base,,,James Maddison,Tottenham Hotspur,,,,,
Autographs - Base,,,Lucas Bergvall,Tottenham Hotspur,,,,,
Autographs - Base,,,Ledley King,Tottenham Hotspur,,,,,
Autographs - Base,,,Mikey Moore,Tottenham Hotspur,,,,,
Autographs - Base,,,Son Heung-Min,Tottenham Hotspur,,,,,
Autographs - Base,,,Teddy Sheringham,Tottenham Hotspur,,,,,
Autographs - Base,,,Will Lankshear,Tottenham Hotspur,,,,,
Autographs - Base,,,Yang Min-hyeok,Tottenham Hotspur,,,,,
Autographs - Base,,,Aaron Wan-Bissaka,West Ham United,,,,,
Autographs - Base,,,Bobby Zamora,West Ham United,,,,,
Autographs - Base,,,Emerson Palmieri,West Ham United,,,,,
Autographs - Base,,,Jarrod Bowen,West Ham United,,,,,
Autographs - Base,,,Joe Cole,West Ham United,,,,,
Autographs - Base,,,Jean-Clair Todibo,West Ham United,,,,,
Autographs - Base,,,Luis Guilherme,West Ham United,,,,,
Autographs - Base,,,Lewis Orford,West Ham United,,,,,
Autographs - Base,,,Mohammed Kudus,West Ham United,,,,,
Autographs - Base,,,Maximilian Kilman,West Ham United,,,,,
Autographs - Base,,,Yossi Benayoun,West Ham United,,,,,
Autographs - Base,,,Jørgen Strand Larsen,Wolverhampton Wanderers,,,,,
Autographs - Base,,,Matheus Cunha,Wolverhampton Wanderers,,,,,
Autographs - Base,,,Tommy Doyle,Wolverhampton Wanderers,,,,,
Autographs - Beast mode,,,Evanilson,AFC Bournemouth,,,,,
Autographs - Beast mode,,,Declan Rice,Arsenal,,,,,
Autographs - Beast mode,,,Georginio Rutter,Brighton & Hove Albion,,,,,
Autographs - Beast mode,,,Hannibal,Burnley FC,,,,,
Autographs - Beast mode,,,Enzo FernÃ¡ndez,Chelsea,,,,,
Autographs - Beast mode,,,John Terry,Chelsea,,,,,
Autographs - Beast mode,,,Beto,Everton,,,,,
Autographs - Beast mode,,,Daniel James,Leeds United,,,,,
Autographs - Beast mode,,,Virgil van Dijk,Liverpool FC,,,,,
Autographs - Beast mode,,,Rodri,Manchester City,,,,,
Autographs - Beast mode,,,Alejandro Garnacho,Manchester United,,,,,
Autographs - Beast mode,,,Sandro Tonali,Newcastle United,,,,,
Autographs - Beast mode,,,Chris Wood,Nottingham Forest,,,,,
Autographs - Beast mode,,,Dominic Solanke,Tottenham Hotspur,,,,,
Autographs - Beast mode,,,Ledley King,Tottenham Hotspur,,,,,
Autographs - Beast mode,,,Emerson Palmieri,West Ham United,,,,,
Autographs - Chrome King,,,Cesc Fàbregas,Arsenal,,,,,
Autographs - Chrome King,,,Dwight Yorke,Aston Villa,,,,,
Autographs - Chrome King,,,Didier Drogba,Chelsea,,,,,
Autographs - Chrome King,,,Gianfranco Zola,Chelsea,,,,,
Autographs - Chrome King,,,Julián Speroni,Crystal Palace,,,,,
Autographs - Chrome King,,,Nathaniel Clyne,Crystal Palace,,,,,
Autographs - Chrome King,,,Leighton Baines,Everton,,,,,
Autographs - Chrome King,,,Danny Murphy,Fulham,,,,,
Autographs - Chrome King,,,Jimmy Floyd Hasselbaink,Leeds United,,,,,
Autographs - Chrome King,,,Steven Gerrard,Liverpool FC,,,,,
Autographs - Chrome King,,,Xabi Alonso,Liverpool FC,,,,,
Autographs - Chrome King,,,David Silva,Manchester City,,,,,
Autographs - Chrome King,,,Sergio Agüero,Manchester City,,,,,
Autographs - Chrome King,,,Nemanja Vidić,Manchester United,,,,,
Autographs - Chrome King,,,Wayne Rooney,Manchester United,,,,,
Autographs - Chrome King,,,Andy Cole,Newcastle United,,,,,
Autographs - Chrome King,,,Roy Keane,Nottingham Forest,,,,,
Autographs - Chrome King,,,Gareth Bale,Tottenham Hotspur,,,,,
Autographs - Chrome King,,,Bobby Zamora,West Ham United,,,,,
Autographs - Chrome King,,,Paul Ince,Wolverhampton Wanderers,,,,,
Autographs - Black Edge,,,Cole Palmer,Chelsea,,,,,
Autographs - Black Edge,,,Eberechi Eze,Crystal Palace,,,,,
Autographs - Black Edge,,,Clint Dempsey,Fulham,,,,,
Autographs - Black Edge,,,Fernando Torres,Liverpool FC,,,,,
Autographs - Black Edge,,,Rio Ngumoha,Liverpool FC,,,,,
Autographs - Black Edge,,,Erling Haaland,Manchester City,,,,,
Autographs - Black Edge,,,Alan Shearer,Newcastle United,,,,,
Autographs - Black Edge,,,Chris Wood,Nottingham Forest,,,,,
Autographs - Black Edge,,,Son Heung-Min,Tottenham Hotspur,,,,,
Autographs - Black Edge,,,Matheus Cunha,Wolverhampton Wanderers,,,,,
Memorabilia - Premier Relics,,,Evanilson,AFC Bournemouth,,,,,
Memorabilia - Premier Relics,,,Emiliano Martínez,Aston Villa,,,,,
Memorabilia - Premier Relics,,,Kristoffer Ajer,Brentford,,,,,
Memorabilia - Premier Relics,,,Nathan Collins,Brentford,,,,,
Memorabilia - Premier Relics,,,Lewis Dunk,Brighton & Hove Albion,,,,,
Memorabilia - Premier Relics,,,Simon Adingra,Brighton & Hove Albion,,,,,
Memorabilia - Premier Relics,,,Didier Drogba,Chelsea,,,,,
Memorabilia - Premier Relics,,,Enzo Fernández,Chelsea,,,,,
Memorabilia - Premier Relics,,,Harrison Murray-Campbell,Chelsea,,,,,
Memorabilia - Premier Relics,,,Hernán Crespo,Chelsea,,,,,
Memorabilia - Premier Relics,,,John Terry,Chelsea,,,,,
Memorabilia - Premier Relics,,,Levi Colwill,Chelsea,,,,,
Memorabilia - Premier Relics,,,Malo Gusto,Chelsea,,,,,
Memorabilia - Premier Relics,,,Nicolas Jackson,Chelsea,,,,,
Memorabilia - Premier Relics,,,Chris Richards,Crystal Palace,,,,,
Memorabilia - Premier Relics,,,Eberechi Eze,Crystal Palace,,,,,
Memorabilia - Premier Relics,,,Beto,Everton,,,,,
Memorabilia - Premier Relics,,,Antonee Robinson,Fulham,,,,,
Memorabilia - Premier Relics,,,Emile Smith Rowe,Fulham,,,,,
Memorabilia - Premier Relics,,,Cody Gakpo,Liverpool FC,,,,,
Memorabilia - Premier Relics,,,Conor Bradley,Liverpool FC,,,,,
Memorabilia - Premier Relics,,,Darwin Núñez,Liverpool FC,,,,,
Memorabilia - Premier Relics,,,Diogo Jota,Liverpool FC,,,,,
Memorabilia - Premier Relics,,,Harry Kewell,Liverpool FC,,,,,
Memorabilia - Premier Relics,,,Harvey Elliott,Liverpool FC,,,,,
Memorabilia - Premier Relics,,,Luis Suárez,Liverpool FC,,,,,
Memorabilia - Premier Relics,,,Mohamed Salah,Liverpool FC,,,,,
Memorabilia - Premier Relics,,,Virgil van Dijk,Liverpool FC,,,,,
Memorabilia - Premier Relics,,,Bernardo Silva,Manchester City,,,,,
Memorabilia - Premier Relics,,,Ederson,Manchester City,,,,,
Memorabilia - Premier Relics,,,Erling Haaland,Manchester City,,,,,
Memorabilia - Premier Relics,,,Jack Grealish,Manchester City,,,,,
Memorabilia - Premier Relics,,,Jérémy Doku,Manchester City,,,,,
Memorabilia - Premier Relics,,,John Stones,Manchester City,,,,,
Memorabilia - Premier Relics,,,Nathan Aké,Manchester City,,,,,
Memorabilia - Premier Relics,,,Phil Foden,Manchester City,,,,,
Memorabilia - Premier Relics,,,Rúben Dias,Manchester City,,,,,
Memorabilia - Premier Relics,,,Sávio,Manchester City,,,,,
Memorabilia - Premier Relics,,,Alejandro Garnacho,Manchester United,,,,,
Memorabilia - Premier Relics,,,Diogo Dalot,Manchester United,,,,,
Memorabilia - Premier Relics,,,Kobbie Mainoo,Manchester United,,,,,
Memorabilia - Premier Relics,,,Manuel Ugarte,Manchester United,,,,,
Memorabilia - Premier Relics,,,Paul Ince,Manchester United,,,,,
Memorabilia - Premier Relics,,,Rasmus Højlund,Manchester United,,,,,
Memorabilia - Premier Relics,,,Zlatan Ibrahimović,Manchester United,,,,,
Memorabilia - Premier Relics,,,Alexander Isak,Newcastle United,,,,,
Memorabilia - Premier Relics,,,Lewis Hall,Newcastle United,,,,,
Memorabilia - Premier Relics,,,Lewis Miley,Newcastle United,,,,,
Memorabilia - Premier Relics,,,Tino Livramento,Newcastle United,,,,,
Memorabilia - Premier Relics,,,Cristian Romero,Tottenham Hotspur,,,,,
Memorabilia - Premier Relics,,,Mikey Moore,Tottenham Hotspur,,,,,
Memorabilia - Premier Relics,,,Son Heung-Min,Tottenham Hotspur,,,,,
Memorabilia - Premier Relics,,,Aaron Wan-Bissaka,West Ham United,,,,,
Memorabilia - Premier Relics,,,Crysencio Summerville,West Ham United,,,,,
Memorabilia - Premier Relics,,,Emerson Palmieri,West Ham United,,,,,
Memorabilia - Premier Relics,,,Guido Rodríguez,West Ham United,,,,,
Memorabilia - Premier Relics,,,Lewis Orford,West Ham United,,,,,
Memorabilia - Premier Relics,,,Maximilian Kilman,West Ham United,,,,,
Memorabilia - Premier Relics,,,Niclas Füllkrug,West Ham United,,,,,
Memorabilia - Premier Relics,,,Matheus Cunha,Wolverhampton Wanderers,,,,,
